abstract,title,year,journal,authors,base,exclusion_stage,exclusion reson,#ID
"Can civil servants in a developing democracy successfully resist political capture in the distribution of public goods? Existing research tends to highlight political patronage logics of distribution, and scholarship focuses primarily on politicians’ motivations. But service decisions are often made by bureaucrats, who sometimes explicitly try to avoid capture and allocate on the basis of need. Using qualitative interviews and spatial regressions with geo-coded data from a solar panel program in Ghana, we examine such a situation. We show that, despite considerable efforts to thwart it, national-level civil servants were unable to fully resist political capture. While solar panel distribution partially corresponded to need for electricity, we find that panels also went to areas where voter turnout was historically inconsistent, likely to motivate voter turnout. The direction of these relationships was consistent across subnational space, but the magnitudes varied considerably and were strongest in districts adjacent to Lake Volta. Qualitative data analysis reveals that this subnational variation reflects the logistics of space and the historical politics of place. The article contributes to theories of distributive politics and of voting behavior, and highlights the need for subnational disaggregation across space. © 2019",spatial analysis of bureaucrats’ attempts to resist political capture in a developing democracy: the distribution of solar panels in ghana,2020,Political Geography,"Brass, J.N., Schon, J., Baldwin, E., MacLean, L.M.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",2
"The foundational model of distributive politics predicts a positive relationship between the number of legislative districts and the level of inefficiency of projects approved by the legislature—Weingast, Shepsle, and Johnsen's “Law of 1/n.” This relationship has been tested extensively in the empirical literature, with mixed results. This article presents a model wherein passing the omnibus legislation typical of distributive politics is a costly process. The model predicts a nonlinear relationship between legislature size and spending as increasing the size of the legislature also increases the costs of collective action. Results from an empirical exercise based on U.S. state legislatures (1962–2014) are consistent with the proposed model, showing a 1/n effect which diminishes at the margin as the legislature's size increases, especially in the lower chamber. © 2019 by the Southern Economic Association","the law of 1/n revisited: distributive politics, legislature size, and the costs of collective action",2019,Southern Economic Journal,"Crowley, G.R.",Scopus,Final,Paper was included,3
"One might obtain special favor or avoid disfavor by winning a competitive contest, a socially wasteful process that has been studied extensively in the rent-seeking literature. But favor or disfavor might also be uncontestable. In that case it will be efficient along some dimensions but grossly inequitable. The rent-seeking literature, in focusing on contest success functions, has tended to ignore the institutional roots of uncontestable rent-creation and rent-extraction. But casual observation suggests that institutional rules and cultural norms often ensure that favor and disfavor cannot be easily contested. Understanding that observation helps to resolve the Tullock paradox and explains the evolutionary persistence of inequitable social arrangements. It also illuminates economic and philosophical tradeoffs. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.",uncontestable favoritism,2019,Public Choice,"Mitchell, M.D.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",4
"Does giving citizens the power to decide budget policies improve fiscal discipline in the local public sector? This study examines the effects of local initiatives on city budgetary solvency or the ability of city governments to generate revenues to meet their service and financial obligations in a fiscal year. Budgetary imbalance in the public sector has been blamed on self-interested bureaucrats and elected officials who desire budgets that are higher than that preferred by the median voter. The initiative gives citizens the power to directly decide budget issues. Research shows that voters are more fiscally conservative than government officials, which suggests that fiscal discipline will improve if citizens exercise greater control over budgeting. Using data from audited financial reports for midsized and large cities from 2006 to 2012, the empirical analysis indicates that initiative cities have weaker budgetary solvency compared with noninitiative cities. © The Author(s) 2018.",power to the people? the initiative process and fiscal discipline in city governments,2019,Urban Affairs Review,"Jimenez, B.S.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",5
"The article sheds light on two missing links in the existing literature on government’s policy preferences and policy choices, namely the roles played by party factions and trade unions as political actors able to affect government’s decision-making power. The content analysis of a wide typology of documents (i.e., investiture speeches, parliamentary debates, motions discussed during parties’ and trade unions’ congresses) allows to locate cabinets, parties, party factions and trade unions on a common pro-state/pro-market scale. Using these new data sources, we perform a multivariate time-series analysis to estimate the relative impact of those political actors on social expenditure in Italy throughout its modern history (1946–2015). The results support the idea that intra-party dynamics and trade unions’ preferences do matter. Indeed, government’s ability to retrench the welfare state vanishes when the Prime Minister’s party is highly polarized internally and when trade unions are more cohesive.",intra-party politics and interest groups: missing links in explaining government effectiveness,2019,Public Choice,"Ceron, A., Curini, L., Negri, F.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",6
"Public spending arguably increases with the number of parties in government as each party seeks to secure benefits to its target groups. In this study, two factors that affect the budgetary consequences of multiparty government are identified. The first is the distribution of a priori voting power. An uneven distribution of voting power implies that all government parties are not expected to be equally successful in budgetary negotiations. The second is the degree of impartiality of the public sector. If the public sector is characterized by corruption and other forms of partiality, distributive issues can be expected to gain importance in representative politics. An analysis of data from 30 European countries suggests that changes in the number of government parties are associated with changes in public spending in cases where equally powerful parties are in government and the public sector is relatively partial. © 2019 European Consortium for Political Research.","not always on an equal footing: power, partiality and the conditional effect of multiparty government on public spending",2019,European Political Science Review,"Ylisalo, J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",7
"This study examines the impact of legislature size on local public finance and service outcomes in Indonesia. The investigation employs both continuity- and randomization-based regression discontinuity methods to accommodate the endogeneity of council size and to identify its causal effects on local government spending, service delivery, and own-source revenue mobilization. Many studies have examined the influence of increasing legislature size on expenditures, but no consensus has emerged on the direction of impacts. Moreover, interpretation of the efficiency of derived spending effects has remained elusive and reliant on ad hoc theorizing. This is the first study to examine the causal impact of council size on service outcomes, thereby facilitating an empirically based understanding of efficiency effects. The study finds that increasing legislature size negatively affects local government total and capital spending. The investigation also shows that rising legislature size has a negative influence on citizen access to public services. Finally, the examination offers evidence to suggest that an increasing number of legislators have no impact on local own-source revenues. Taken together the results imply a decline in local efficiency: residents pay the same amount in taxes but receive fewer services. The findings in this investigation contradict recent theoretical predictions and empirical results from other research.","legislature size, local government expenditure and taxation, and public service access in indonesia",2019,Studies in Comparative International Development,"Lewis, B.D.",Scopus,Final,Paper was included,8
"Over the past several decades, prominent public management and policy scholars have repeatedly identified institutional analysis as a promising tool for empirical research, particularly for the study of ‘new governance’ phenomena where policy is enacted and implemented by actors that span organizations, sectors, jurisdictions, and governance levels. Yet, relatively few empirical studies directly measure and model institutions in management and policy settings. In a systematic review of the literature, we identify challenges and barriers that may prevent management and policy scholars from engaging with institutional analysis, along with examples of studies that illustrate how to overcome these challenges in practice. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",institutional analysis for new public governance scholars,2019,Public Management Review,"Baldwin, E., Chen, T., Cole, D.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",9
"Why do representatives prioritize certain types of constituency service in parliamentary systems? This study argues that the choice for constituency-oriented activities is conditioned by both partisan factors and legislative role orientations. Two novel data sets combining behavioral and attitudinal measures of constituency-oriented behavior are used for empirical tests: an elite survey including detailed interviews with 204 members of the Turkish parliament and 4000 parliamentary questions tabled by these members. The results from a series of ordered logit, ordinary least squares (OLS), and negative binomial regression estimations confirm that members of parliament choose different types of constituency-oriented activities based on their visibility to the party leadership and their constituency. This choice is primarily driven by partisanship and members of parliament’s perceptions about the influence of party leader in renomination. The analysis provides important insights about the role of partisan factors as drivers of parliamentary behavior. © The Author(s) 2017.",hiding behind the party brand or currying favor with constituents: why do representatives engage in different types of constituency-oriented behavior?,2019,Party Politics,"Ciftci, S., Yildirim, T.M.",Scopus,First,"Abstract did not indicate that the study tested neither size of legislature nor public expenditure as main or minor variables. Book chapters, doctoral theses, and articles in languages other than English were also identified and excluded in this stage.",10
"In this paper, I investigate the differences in public spending and extraction of political rents between single-party and coalition governments. Common pool theories predict that coalitions tend to spend more and extract more rents than single-party governments. Using data from Finnish municipalities for the years 1997–2012 and a regression discontinuity design approach tailored for proportional elections, I provide causal evidence consistent with the theoretical predictions. © The editors of The Scandinavian Journal of Economics 2018.","single-party rule, public spending, and political rents: evidence from finnish municipalities",2019,Scandinavian Journal of Economics,"Meriläinen, J.",Scopus,Second,"The full paper either did not employ quantitative methods, or, if it did, did not include legislature size nor public expenditure as independent and dependent variables.",11
